step,train_loss,val_loss,lr,temperature,grad_norm,sec_per_step
418,4.3208,4.3233,4.190e-04,0.0710,4.114,0.094
419,4.3510,4.3233,4.200e-04,0.0710,3.951,0.161
420,4.4389,4.3233,4.210e-04,0.0710,3.816,0.102
421,4.2346,4.3233,4.220e-04,0.0710,3.752,0.158
422,4.2282,4.3233,4.230e-04,0.0710,2.736,0.095
423,4.3145,4.3233,4.240e-04,0.0710,3.190,0.165
424,4.4377,4.3233,4.250e-04,0.0710,5.150,0.081
425,4.3394,4.3233,4.260e-04,0.0710,3.920,0.166
426,4.2671,4.3233,4.270e-04,0.0710,2.915,0.097
427,4.2655,4.3233,4.280e-04,0.0710,3.288,0.172
428,4.2537,4.3233,4.290e-04,0.0710,3.062,0.089
429,4.3055,4.3233,4.300e-04,0.0710,3.361,0.169
430,4.3444,4.3233,4.310e-04,0.0711,2.822,0.082
431,4.0709,4.3233,4.320e-04,0.0711,2.830,0.154
